,user_location,date,text,hashtags,source
0,"Philadelphia, PA",2022-08-22 17:06:05+00:00,"RT @ProtectHarvest: Food elitism is real and it harms low-income families. Find out more here:
https://t.co/37jCYPQOz0
#agriculture #foodie…","['agriculture', 'foodie']",Twitter for iPhone
1,USA,2022-08-22 17:05:11+00:00,"Food elitism is real and it harms low-income families. Find out more here:
https://t.co/37jCYPQOz0
#agriculture #foodie #Foodies #foodieland #farming #ranching #children #lowincomefamilies #families #fooddesert #FoodSystems #foodsecurity #foodbudget #nomoneyforfood https://t.co/arO2sqlarI",['agriculture'],Hootsuite Inc.
2,Southwind,2022-08-21 20:51:46+00:00,"RT @FoPRR: You can ship beans, flour, milk, pasta, veggies, peanut butter, fruit, formula &amp; more directly to the rez today to help feed #La…",,proxPhoto
3,"Apache Junction, AZ",2022-08-21 20:40:47+00:00,"RT @FoPRR: You can ship beans, flour, milk, pasta, veggies, peanut butter, fruit, formula &amp; more directly to the rez today to help feed #La…",,Twitter for iPad
4,"Eugene, OR",2022-08-21 20:28:17+00:00,"RT @FoPRR: You can ship beans, flour, milk, pasta, veggies, peanut butter, fruit, formula &amp; more directly to the rez today to help feed #La…",,Twitter for Android
5,,2022-08-21 20:26:42+00:00,"You can ship beans, flour, milk, pasta, veggies, peanut butter, fruit, formula &amp; more directly to the rez today to help feed #Lakota families in need. Thx 4 your help spreading the word!

#FoodDesert #FoodInsecurity #FoodBank #KindnessMatters #hunger #poverty #NativeAmerican https://t.co/b0varcQvVh https://t.co/1pqnHSECwz",,Twitter for iPad
6,"Delaware, OH",2022-08-21 01:48:35+00:00,@HeidiSKegley Our neighbor has used part of a bed.  The tomatoes are beautiful! #fooddesert,['fooddesert'],Twitter for iPhone
7,"South Carolina, USA",2022-08-20 23:02:08+00:00,"RT @FoPRR: Thank you, thank you kind donor who just sent 40 lbs of pasta, 40 lbs of beans, 20 lbs of rice and 10 boxes of tea to Pine Ridge…",,Twitter for Android
8,"Apache Junction, AZ",2022-08-20 22:58:15+00:00,"RT @FoPRR: Thank you, thank you kind donor who just sent 40 lbs of pasta, 40 lbs of beans, 20 lbs of rice and 10 boxes of tea to Pine Ridge…",,Twitter for iPad
9,,2022-08-20 22:57:05+00:00,"Thank you, thank you kind donor who just sent 40 lbs of pasta, 40 lbs of beans, 20 lbs of rice and 10 boxes of tea to Pine Ridge! 😍 This will help so much. You are amazing!

#food #foodbank #hunger #fooddesert #Lakota #KindnessMatters https://t.co/b0varcQvVh https://t.co/gMQK1onBKj",,Twitter for iPad
10,,2022-08-20 21:16:56+00:00,RT @adamwrightfit: This kind of priviledged advice is unhelpful and unrealistic. #foodinsecurity #fooddesert https://t.co/WEEdb03pQU,"['foodinsecurity', 'fooddesert']",Twitter Web App
11,,2022-08-20 18:21:31+00:00,This kind of priviledged advice is unhelpful and unrealistic. #foodinsecurity #fooddesert https://t.co/WEEdb03pQU,"['foodinsecurity', 'fooddesert']",RepurposeIO
12,"Boston, MA",2022-08-20 13:56:54+00:00,RT @SallyEastman6: And yet the people in the hood will complain about living in a #Fooddesert.,['Fooddesert'],Twitter for iPhone
13,SC,2022-08-20 13:46:02+00:00,And yet the people in the hood will complain about living in a #Fooddesert. https://t.co/dvctDhr2It,['Fooddesert'],Twitter Web App
14,,2022-08-19 13:33:01+00:00,@Breaking911 Does California still have the 3 strikes and your out rule??? And by the way this is why you have a #fooddesert in the black community 🤷💯🖕,,Twitter for Android
15,"Chicago, IL",2022-08-18 21:14:04+00:00,"#tbt to making #meatballs at #TheTrotterProject 6-week #CulinaryArts #SummerCamp at @WashburneCHI

If you ask them, some of these kids want to be chefs one day. 
Others are now just really excited to cook at home ❤️.

#futurechef #cheflife #FoodDesert #FoodSecurity https://t.co/YuhLCqbYFT","['tbt', 'meatballs', 'TheTrotterProject', 'CulinaryArts', 'SummerCamp']",Sprout Social
16,Fort Lauderdale,2022-08-18 01:50:04+00:00,RT @TrotterProject: Thanks to Univ of IL Extension program Master Gardener #volunteers who maintain our soil garden at #Chicago's Montessor…,"['volunteers', 'Chicago']",Twitter for Android
17,"Winston-Salem, NC",2022-08-17 22:56:51+00:00,"Only if we cont @USDANutrition extra #FoodStamp benefits, otherwise we'll be in #FoodDesert not able to eat #FoodPantry foods(high BP, Heart dz), healthy foods incredibly expensive, $20/mo Food Stamps won't buy much 😥100000s like me impacted, #Elders #Families #Singles #Homeless https://t.co/oRBfxnvWNZ","['FoodStamp', 'FoodDesert']",Twitter for Android
18,"Morrilton, AR",2022-08-17 21:44:08+00:00,"Thank you to Alex Ostensen of Main Street Market in Evansville, Minnesota, for joining us virtually to discuss your own model and successes! #fooddesert #healthequity",,Twitter Web App
19,"Chicago, IL",2022-08-17 21:15:19+00:00,"Thanks to Univ of IL Extension program Master Gardener #volunteers who maintain our soil garden at #Chicago's Montessori School of Englewood, we are ready for #BacktoSchool!

#ILFarm2School #FoodEducation #FoodSecurity #FoodDesert #TheTrotterProject https://t.co/gJMslJlGEx","['volunteers', 'Chicago']",Sprout Social
20,"Manhattan, NY",2022-08-17 18:40:12+00:00,"One of the biggest risks upon re-entry is homelessness and starvation. Working to alleviate food deserts means everyone has a role to play.

https://t.co/qiZAjljWbc 

#foodsecurity #foodjustice #fooddesert https://t.co/ikHXa4PVru",,Sendible
21,City of Southend-on-Sea,2022-08-17 14:00:05+00:00,"RT @FOX23News: A new #grocerystore has inked a December opening in Albany's #SouthEnd #fooddesert. 
https://t.co/C9ikMMvmHe https://t.co/fE…","['grocerystore', 'SouthEnd', 'fooddesert']",mysouthend retweets
22,City of Southend-on-Sea,2022-08-17 14:00:05+00:00,"RT @WTEN: A new #grocerystore has inked a December opening in Albany's #SouthEnd #fooddesert. 
https://t.co/dInLdJeuDY https://t.co/xqpS0ON…","['grocerystore', 'SouthEnd', 'fooddesert']",mysouthend retweets
23,New York City,2022-08-17 13:59:34+00:00,"""If you travel more than a mile to a large grocery store with affordable and healthy food options in an urban area, and more than 20 miles in a rural area, you live in what the U.S. Department of Agriculture considers the definition of a ""#fooddesert.""

https://t.co/z4wg9kUvwr",,Khoros Publishing
24,"Albany, New York",2022-08-17 13:55:45+00:00,"A new #grocerystore has inked a December opening in Albany's #SouthEnd #fooddesert. 
https://t.co/dInLdJeuDY https://t.co/xqpS0ONYhG","['grocerystore', 'SouthEnd', 'fooddesert']",SocialFlow
25,"Albany, New York",2022-08-17 13:55:41+00:00,"A new #grocerystore has inked a December opening in Albany's #SouthEnd #fooddesert. 
https://t.co/C9ikMMvmHe https://t.co/fEyprxukR1","['grocerystore', 'SouthEnd', 'fooddesert']",SocialFlow
26,"Chicago, IL",2022-08-16 18:12:05+00:00,"#TheTrotterProject is proud to partner with @ACT_Chicago's Austin Eats - a group of businesses, residents, faith leaders &amp; educators working to change the food landscape in Austin.
Learn more at https://t.co/CFvBh47bKg

#FoodEducation #FoodSecurity #FoodDesert #AustinChicago https://t.co/l29A10PZdi",['TheTrotterProject'],Sprout Social
27,MASKachusetts,2022-08-16 04:37:36+00:00,"@ProjectLincoln This store doesn't look like it's in a #FoodDesert due to the fresh🥕🥦! Hey @DrOz what are you going to do to make sure that poor neighborhoods have stores that sell healthy foods? You need to read the article ⏬
https://t.co/wtGGZd1Iny",['FoodDesert'],Twitter Web App
28,,2022-08-13 00:10:27+00:00,"RT @FoPRR: Waving thanks to the wonderful donor who sent oats, rice, pasta sauce, vegetables, fruit and salmon to Lakota families in need o…",,Twitter for iPad
29,Chicago,2022-08-22 16:50:25+00:00,RT @asher_rosinger: Free access for 50 days to our new paper @eatright exploring how tap water avoidance as a proxy of #waterinsecurity com…,['waterinsecurity'],Sprout Social
30,"Evanston, Ill.",2022-08-22 16:46:58+00:00,RT @asher_rosinger: Free access for 50 days to our new paper @eatright exploring how tap water avoidance as a proxy of #waterinsecurity com…,['waterinsecurity'],Twitter Web App
31,"University Park, PA",2022-08-22 16:27:37+00:00,RT @asher_rosinger: Free access for 50 days to our new paper @eatright exploring how tap water avoidance as a proxy of #waterinsecurity com…,['waterinsecurity'],Twitter for iPhone
32,"Evanston, IL",2022-08-22 16:26:55+00:00,"This paper is highly relevant findings for @CDCgov as decisions are being made about contents of the next #NHANES survey. Clearly #foodinsecurity &amp; #waterinsecurity are tightly linked, likely causally. https://t.co/oQmqbGkPug #water https://t.co/WJQvDi225I",['NHANES'],Twitter Web App
33,"SK, BC, FL, and in YOUR mind!",2022-08-22 16:26:38+00:00,"#Careers #Career #Canada #Fisheries #leadership #skills #teaching #work Community engagement
#Economy #employment #Jobs #ecosystem #politics #environment #foodsecurity #food #biology #community #FoodInsecurity 
#IndigenousPeoples government
In Canada
All interested Please read https://t.co/Rkmmd0XQFk","['Careers', 'Career', 'Canada', 'Fisheries', 'leadership', 'skills', 'teaching', 'work', 'Economy', 'employment']",Twitter Web App
34,"State College, PA",2022-08-22 16:24:13+00:00,Free access for 50 days to our new paper @eatright exploring how tap water avoidance as a proxy of #waterinsecurity compounds vulnerability to #foodinsecurity beyond other resource insecurities (housing &amp; low income) in the US @ProfSeraYoung @HWISE_RCN  https://t.co/2rO7lyOiCb https://t.co/HktpppqSOA,['waterinsecurity'],Twitter Web App
35,"Philadelphia, PA",2022-08-22 16:21:51+00:00,The right to garden is essential for #FoodJustice and #FoodSovereignty and to reduce #FoodInsecurity. https://t.co/UlR4084nWY,"['FoodJustice', 'FoodSovereignty', 'FoodInsecurity']",Twitter Web App
36,"Calgary, Alberta",2022-08-22 16:05:39+00:00,RT @proofcanada: From our report: #Alberta had highest rate of #FoodInsecurity among provinces at 20% &amp; highest rate of severe food insecur…,"['Alberta', 'FoodInsecurity']",Twitter for iPhone
37,,2022-08-22 16:02:20+00:00,"50 students from @RowanEnviro are partnering with @BullockGarden to help combat #foodinsecurity in their community. Their project will help develop community gardens to give more people access to healthy, nutritious foods. Read more about their goals here: https://t.co/923Whrpga4",['foodinsecurity'],SocialPilot.co
38,"Santa Barbara, CA",2022-08-22 15:54:17+00:00,"RT @ICRAF: With over 2 billion people experiencing #foodinsecurity, scientists argue that the greater use of #trees is a key solution to ad…","['foodinsecurity', 'trees']",Twitter for Mac
39,"Philadelphia, PA",2022-08-22 15:48:24+00:00,"Charity food is not a long-term solution to #FoodInsecurity. But providing dignified, fresh food-centered, choice-based alternatives to the typical #FoodBank is a preferred emergency food model https://t.co/J17lwz6564",['FoodInsecurity'],Twitter Web App
40,,2022-08-22 15:47:17+00:00,"RT @ICRAF: With over 2 billion people experiencing #foodinsecurity, scientists argue that the greater use of #trees is a key solution to ad…","['foodinsecurity', 'trees']",Twitter Web App
41,"Ottawa, Ontario CANADA",2022-08-22 15:33:45+00:00,"Since #CERB is trending, here's a REMINDER that #disabled people in #Ontario receive about half the amount that they need to survive every month.

67% of people on #ODSP face #FoodInsecurity and #DougFord doesn't care.","['CERB', 'disabled', 'Ontario']",Twitter Web App
42,"Massachusetts, USA",2022-08-22 15:31:30+00:00,"A seven-year-old girl in Natick, passionate about helping her community, has launched a small #foodpantry in her family’s front yard to help fight #foodinsecurity.

Their community began leaving non-perishables when word got out about Fiona’s efforts.
https://t.co/h04Awgj4CV",['foodpantry'],Twitter Web App
43,"Greenville, North Carolina",2022-08-22 15:30:18+00:00,"1,245,870 people face food insecurity in North Carolina. Of that number, 394,300 are children.
For ways that you can get involved in our mission, visit our website.
https://t.co/UjY0G0RAGS 

#CCCinAction #foodinsecurity #foodinsecuritync #homelessness #nonprofitorganization https://t.co/lrTd5dQJJk",,Sendible
44,"Bronxville, NY and online",2022-08-22 15:23:10+00:00,"Cultivating joy and addressing #FoodInsecurity  - a clever gardening initiative in #PalliativeCare  centers 🍅🥕🫑🌺
https://t.co/qWcHKFdafc","['FoodInsecurity', 'PalliativeCare']",Twitter Web App
45,USA ,2022-08-22 15:14:58+00:00,"Keep bringing this to the forefront,  though I doubt it makes any difference to the #capitalists. 

#FoodInsecurity 
#homelessness 
#depression financial &amp; mental https://t.co/8GTLmRpAJr","['capitalists', 'FoodInsecurity']",Twitter for Android
46,"Washington, DC",2022-08-22 15:09:59+00:00,"While the global crises will cause a modest slowdown in #Rwanda’s overall economic growth 🇷🇼, the adverse impacts on #poverty &amp; #FoodInsecurity are likely to be more pronounced—especially in rural areas. 👩‍🌾

For more info, read the full @IFPRI brief:
🔎 https://t.co/fTtWNuBEtG https://t.co/atyGrMDPRJ",['Rwanda'],Twitter Web App
